Academy,Aqqutikitsoq,Austfonna,Brewster,Columbia,Devon,Elbrus,Freya,Hellstugubreen,Kesselwandferner,Mocho,NorthGlacier,SouthGlacier,Starbuck,Synthetic1,Synthetic2,Synthetic3,Tasman,Unteraar,Urumqi,Washmawapta
0.22609512729876058,0.2480649308090436,0.04725152216791013,0.031032328531781384,0.058267401673759676,0.05834412680210672,0.18279979583474115,0.1546074963375853,0.09088906511586924,0.25445202561430413,0.10079904591532499,0.0923609066823668,0.16108870967741937,0.1623797434526991,0.34202628163530174,0.20358588779641412,0.413754267412804,0.013814859892838656,0.02282359004161207,0.06687893094091629,0.07168658698539176
0.23629692603695915,0.2633516811068759,0.051968098790841265,0.03525487887204116,0.0618377081488675,0.062089602355543394,0.1948771773434074,0.16171794047236218,0.09585866596175875,0.28256352780017174,0.1131067382230173,0.09938391017284158,0.17469086021505376,0.16805852485301978,0.3617375081116158,0.21904761904761905,0.43027839369302784,0.015944796519354792,0.025115269272309608,0.06976488856125602,0.0798937583001328
0.2465434695064656,0.2793236299312912,0.05677043135237115,0.039172258887186645,0.06569363914198395,0.0660219755156216,0.20848579829335098,0.16825669060635295,0.10077539871354305,0.3048744518945278,0.12589147286821706,0.10640691366331637,0.1900268817204301,0.1738041154462854,0.3807592472420506,0.2388663967611336,0.44683771513039805,0.018288076551810972,0.027620765464722943,0.07279200715215584,0.08802124833997343
0.25808761018390086,0.2953429884714307,0.06020066889632107,0.04320934376049986,0.06952100768329954,0.07007630728342348,0.2209226256802513,0.1749026333654911,0.10581549035157282,0.3258614022324033,0.1402504472271914,0.11351402498002439,0.20795698924731182,0.17861437733832175,0.39864536015574303,0.26211683053788315,0.4636434026677929,0.021222422741707585,0.030663545304524698,0.07575638753391785,0.09660026560424967
0.2694080272047966,0.31125054977651767,0.06405968613326472,0.04742829781746705,0.07340550112821685,0.0742842752193968,0.23409272265874928,0.18136992174938366,0.11126090404440919,0.3468352439192245,0.15367918902802624,0.12094705412338617,0.22951612903225807,0.18332442544094069,0.41803212199870216,0.28490456911509543,0.4805546756766269,0.02426169191813209,0.03360215790656747,0.07868939881111094,0.10608233731739708
0.28175757304577387,0.3268310481102904,0.06851899494039962,0.05187176270284322,0.07686155779612122,0.07875556287659174,0.24606945932150995,0.1880158645085218,0.11735835756454313,0.36788118318684415,0.1688014311270125,0.1284641910929812,0.2521505376344086,0.18699893105291288,0.4370944192083063,0.3063813379602853,0.49815225424981524,0.027811586295658986,0.03701226432162457,0.08171651740201076,0.11628154050464808
0.2935254373797485,0.3423596520255,0.07306405968613326,0.056402052141997706,0.08060323898203421,0.08345255315197667,0.25918204495949043,0.19591238789437954,0.12410785091197463,0.39013311835145603,0.18666666666666668,0.136033895453972,0.2743010752688172,0.1919762159273116,0.45542667099286177,0.3267784846732215,0.5161721747087601,0.031721716260264966,0.04050460802964929,0.08452405226092821,0.12788844621513945
0.3061434516085731,0.357890177956212,0.07949575508103936,0.061524700814917795,0.08471623204135843,0.08876765182559761,0.27448006153713433,0.20555972415764462,0.13176491320821218,0.40876051149956416,0.20644007155635063,0.14425543546827033,0.29736559139784946,0.19705371459112775,0.47306943543153795,0.34725274725274724,0.5347376201034738,0.03603055357367692,0.04397502179288264,0.08769233182238813,0.1394422310756972
0.319432636807016,0.3739931441707032,0.0858416945373467,0.06656771750064476,0.08874353774528006,0.09407641498712901,0.28876444073815805,0.2164933719226784,0.14087584809234294,0.4266997004673234,0.22983899821109124,0.15333908070145927,0.3133870967741936,0.20136290753607697,0.490914990266061,0.3664931559668402,0.5524583817266744,0.040643667548019756,0.048026579093087135,0.09194284549147544,0.15187250996015936
0.33392992975077185,0.3895006059153871,0.09193036617785781,0.07147613044027755,0.09257090628659564,0.09920540799311964,0.30361674442679165,0.2336799228213099,0.15358181337562782,0.4449731600369664,0.24954084675014906,0.16218091593422768,0.32844086021505375,0.20610636023516835,0.507665476963011,0.3855407750144592,0.5696336184141062,0.0461241448776598,0.052335813244590156,0.09619335916056276,0.16406374501992033
0.3502617566781511,0.40422516667878605,0.09819054969556641,0.07667943860990294,0.09662677444231813,0.10452248651426857,0.32156028266823866,0.28245256726337226,0.1844832143801216,0.46429531169095045,0.27286821705426356,0.17108583203667102,0.34338709677419355,0.21128407268840194,0.5236048020765737,0.40412569886254096,0.5855770246014148,0.05198234495880024,0.05751128021535206,0.10207506626723341,0.17667994687915006
