x,y,Thickness,GATE,Inferred
601352.9702818323,6736041.563039016,752.2502462135981,NA,False
601352.1651781672,6736031.119851644,744.5598855502741,NA,False
601350.7700188804,6736020.734468241,737.8645631067909,NA,False
601349.3748595936,6736010.349084837,732.392295082604,NA,False
601347.9797003068,6735999.963701434,726.9200270584171,NA,False
601346.58454102,6735989.578318031,721.44775903423,NA,False
601345.1893817332,6735979.192934628,715.975491010043,NA,False
601343.7942224464,6735968.807551224,710.5080677800701,NA,False
601342.3990631596,6735958.422167821,705.0694752514161,NA,False
601341.0039038728,6735948.036784417,699.6308827227631,NA,False
601339.6087445861,6735937.651401014,694.1922901941091,NA,False
601338.2135852993,6735927.26601761,688.786685251308,NA,False
601336.8184260125,6735916.880634206,683.7259317825401,NA,False
601335.4232667257,6735906.495250803,678.665178313772,NA,False
601334.0281074389,6735896.1098674,673.604424845003,NA,False
601332.630750016,6735885.724837173,668.21158161919,NA,False
601330.7024142235,6735875.425119753,661.372725580315,NA,False
601328.7740784311,6735865.125402332,654.533869541439,NA,False
601326.8457426387,6735854.825684912,647.695013502563,NA,False
601324.9174068463,6735844.525967491,640.8561574636869,NA,False
601322.9890710538,6735834.22625007,634.017301424811,NA,False
601321.0607352614,6735823.926532649,626.928645408875,NA,False
601319.132399469,6735813.62681523,619.486360895981,NA,False
601317.2040636765,6735803.327097809,612.1274209468139,NA,False
601315.2757278841,6735793.027380388,604.9012300703749,NA,False
601314.4187643448,6735782.6598856365,597.675039193936,NA,True
601315.0337565708,6735772.199271771,590.448848317497,NA,True
601315.6487487968,6735761.738657906,583.222657441058,NA,True
601316.2637410228,6735751.278044041,575.996466564619,NA,True
601316.8787332488,6735740.817430176,568.77027568818,NA,True
601317.4937254748,6735730.356816311,561.5440848117411,NA,True
601318.1087177008,6735719.896202446,554.317893935302,NA,True
601318.4544754812,6735709.432666851,547.091703058863,NA,True
601318.066638294,6735698.961170292,539.865512182424,NA,True
601317.6788011069,6735688.489673734,532.639321305985,NA,True
601317.2909639197,6735678.018177174,525.413130429546,NA,True
601316.9031267326,6735667.546680615,518.186939553107,NA,True
601316.5152895454,6735657.075184056,510.960748676668,NA,True
601316.1274523583,6735646.603687497,503.734557800229,NA,True
